Sample #,Date Collected,Sampling Time,Time Of Low Tide,Julian Day,Site Code,Site Name,Site Latitude,Site Longitude,Air Temperature,Surface Water Temperature,Water Temperature At -3 Feet,Salinity,Chlorophyll,Oyster Tissue Temperature,"Total Vibrio Parahaemolyticus, Water","Tdh+ Vibrio Parahaemolyticus, Water","Total Vibrio Parahaemolyticus, Net Tow","Tdh+ Vibrio Parahaemolyticus, Net Tow","Total Vibrio Parahemolyticus, Oyster","Tdh+ Vibrio Parahaemolyticus, Oyster",Record Number,Accessed Date,Source Url,Preferred Citation
634,2008-09-08 00:00:00,2008-09-08 08:45:00,2008-09-08 06:10:00,251,MCHC014,"Belfair park, Hood canal",47.42855,-122.87437,13,16.2,16.9,24,1.334,13,,,332,257,93,0,Row 193 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
636,2008-09-08 00:00:00,2008-09-08 07:55:00,2008-09-08 06:10:00,251,MCHC019,"Sister's point, Hood canal",47.35876,-123.04118,13.6,18.6,18.8,29,2.439,15.8,20200,15800,177,172,15,0,Row 194 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
639,2008-09-09 00:00:00,2008-09-09 07:25:00,2008-09-09 07:05:00,252,JCHC011,Quilcene Bay,47.78746,-122.85935,9.6,15,14.7,32,1.36,11.4,954,0,,,93,0,Row 195 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
637,2008-09-09 00:00:00,2008-09-09 08:25:00,2008-09-09 07:05:00,252,JCHC013,Dabob Bay,47.76963,-122.82102,11.9,10.5,14.2,12,2.91,15,1710,187,289,69,2.3,0,Row 196 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
638,2008-09-09 00:00:00,2008-09-09 09:45:00,2008-09-09 07:10:00,252,JCMI005,Mystery Bay,48.0569,-122.69488,15.2,15.6,16,33,.902,16.6,2060,193,444,352,0,0,Row 197 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
644,2008-09-10 00:00:00,2008-09-10 09:00:00,2008-09-10 08:05:00,253,KPHC012,Misery point,47.65506,-122.82842,15.3,14.5,15,34,2.368,16.4,,,441,205,.36,0,Row 198 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
643,2008-09-10 00:00:00,2008-09-10 10:10:00,2008-09-10 09:00:00,253,MCSS008,"Case Inlet, North North Bay",47.40244,-122.82406,13.4,17,17,0,10.316,16.4,10300,2990,786,451,1.5,0,Row 199 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
642,2008-09-10 00:00:00,2008-09-10 11:00:00,2008-09-10 09:00:00,253,PCCA002,Rocky Bay,47.35595,-122.79679,14.4,17.5,,0,3.732,17.8,5500,1290,967,333,22,0,Row 200 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
641,2008-09-10 00:00:00,2008-09-10 10:15:00,2008-09-10 09:00:00,253,TCSS0T2,South Totten Inlet,47.11496,-123.02234,15.6,18.1,16.3,30,1.557,19.1,28300,17300,240,113,23,.036,Row 201 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
640,2008-09-11 00:00:00,2008-09-11 11:00:00,2008-09-11 09:00:00,254,SKSB009,Samish Bay,48.58865,-122.48548,21,17.8,15.6,20,2.354,20,596,0,50,11.7,0,0,Row 202 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
646,2008-09-14 00:00:00,2008-09-14 13:10:00,2008-09-14 11:00:00,257,JCHC021,Duckabush,47.64711,-122.92964,16,25.1,24.5,16,4.445,21.2,2520,35,0,2.44,9.3,0,Row 203 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
645,2008-09-14 00:00:00,2008-09-14 12:15:00,2008-09-14 11:00:00,257,MCHC004,"Mike's beach, Hood canal",47.55801,-123.02454,17,19.2,18.4,25,4.911,24.3,1570,13.2,10.3,1.35,43,0,Row 204 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
647,2008-09-14 00:00:00,2008-09-14 10:50:00,2008-09-14 11:00:00,257,MCHC007,"Potlatch, Hood canal",47.36011,-123.15604,15,16.5,17.1,10,1.641,24.8,509,0,60.6,18.4,,,Row 205 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
648,2008-09-14 00:00:00,2008-09-14 11:25:00,2008-09-14 11:00:00,257,MCHC056,Hoodsport,47.39555,-123.1438,14.1,17.4,16.7,21,1.787,26.3,3950,0,26.2,9.84,0,0,Row 206 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
650,2008-09-15 00:00:00,2008-09-15 13:10:00,2008-09-15 11:40:00,258,MCHC005,"Hama Hama, Hood canal",47.54319,-123.03878,16.7,20.6,20.9,25,.724,31.5,,,11.2,3.61,4.3,0,Row 207 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
649,2008-09-15 00:00:00,2008-09-15 14:30:00,2008-09-15 13:40:00,258,MCHC018,DNR Beach 48,47.50405,-123.0318,18.2,14.8,14.6,28,3.052,27.6,188000,26900,53,12.8,15,.036,Row 208 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
652,2008-09-15 00:00:00,2008-09-15 15:25:00,2008-09-15 13:40:00,258,MCSS013,Oakland Bay,47.22503,-123.0373,18.7,19.4,18.4,18,1.78,27.4,724,32.3,44.8,17.9,430,0,Row 209 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
653,2008-09-15 00:00:00,2008-09-15 11:50:00,2008-09-15 12:40:00,258,MCSS018,Totten Inlet,47.143,-123.06354,15.8,17.8,17.4,26,2.923,26.4,75900,0,23.4,3.55,75,0,Row 210 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
651,2008-09-15 00:00:00,2008-09-15 11:10:00,2008-09-15 12:30:00,258,TCCS0E0,Eld Inlet,47.11399,-122.94886,15.9,16.8,16.4,30,6.093,24.2,138000,0,81.2,0,4.3,0,Row 211 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
654,2008-09-17 00:00:00,2008-09-17 08:30:00,2008-09-17 08:45:00,260,GHGH000,Grays Habor,46.96043,-124.03574,,16.1,15.7,35,4.575,13.6,0,0,154,52.8,4.3,.036,Row 212 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
655,2008-09-17 00:00:00,2008-09-17 11:00:00,2008-09-17 09:25:00,260,PAWB002,Nahcotta,46.45461,-124.00977,12.2,17.2,17,35,4.316,16.3,,,30.7,11.3,0,0,Row 213 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
657,2008-09-22 00:00:00,2008-09-22 06:30:00,2008-09-22 05:17:00,265,KPHC012,Misery point,47.65506,-122.82842,11.5,15.8,15.6,34,3.971,10.9,,,142,51.8,2.3,0,Row 214 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
656,2008-09-22 00:00:00,2008-09-22 07:55:00,2008-09-22 05:50:00,265,PCCA002,Rocky Bay,47.35595,-122.79679,9.8,14.5,15.2,35,5.554,11.1,,,139,70,43,0,Row 215 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
659,2008-09-23 00:00:00,2008-09-23 09:20:00,2008-09-23 06:10:00,266,MCHC010,"Twanoh park, Hood canal",47.38054,-122.95776,11.5,15.1,15.8,32,.116,15,,,54,12,750,0,Row 216 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
660,2008-09-23 00:00:00,2008-09-23 08:35:00,2008-09-23 06:10:00,266,MCHC014,"Belfair park, Hood canal",47.42855,-122.87437,8.7,14.1,15.1,17,1.529,11.4,,,115,22.9,15,0,Row 217 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
661,2008-09-23 00:00:00,2008-09-23 07:45:00,2008-09-23 06:10:00,266,MCHC019,"Sister's point, Hood canal",47.35876,-123.04118,9,15.8,16,33,1.619,9.7,,,554,48.4,.36,0,Row 218 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
658,2008-09-23 00:00:00,2008-09-23 06:40:00,2008-09-23 07:00:00,266,MCSS008,"Case Inlet, North North Bay",47.40244,-122.82406,7.5,15.4,15.8,38,7.9199,10.6,,,243,116,1.5,0,Row 219 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
663,2008-09-24 00:00:00,2008-09-24 08:00:00,2008-09-24 07:12:00,267,JCHC011,Quilcene Bay,47.78746,-122.85935,10.3,15.7,15.5,35,.192,13.2,,,826,68.8,0,0,Row 220 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
662,2008-09-24 00:00:00,2008-09-24 08:45:00,2008-09-24 07:12:00,267,JCHC013,Dabob Bay,47.76963,-122.82102,11.4,12.1,13.5,13,1.132,14.5,,,113,36.9,0,0,Row 221 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
664,2008-09-24 00:00:00,2008-09-24 09:45:00,2008-09-24 07:08:00,267,JCMI005,Mystery Bay,48.0569,-122.69488,11.8,13.1,13.3,35,14.161,14.8,,,1180,447,0,0,Row 222 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
665,2008-09-24 00:00:00,2008-09-24 09:45:00,2008-09-24 08:15:00,267,TCSS0T2,South Totten Inlet,47.11496,-123.02234,14.4,13.3,11.6,30,1.495,15.9,,,129,21.9,2.3,0,Row 223 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
666,2008-09-25 00:00:00,2008-09-25 10:10:00,2008-09-25 08:30:00,268,SKSB009,Samish Bay,48.58865,-122.48548,13,13,12.8,25,16.752,15.6,,,164,19.9,0,0,Row 224 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
670,2008-09-28 00:00:00,2008-09-28 12:55:00,2008-09-28 10:57:00,271,JCHC021,Duckabush,47.64711,-122.92964,17.2,21.3,21.9,25,1.96,23.7,14400,0,16.3,5.39,9.3,0,Row 225 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
668,2008-09-28 00:00:00,2008-09-28 11:35:00,2008-09-28 10:57:00,271,MCHC004,"Mike's beach, Hood canal",47.55801,-123.02454,12.5,14.3,14.1,28,9.421,21.1,,,185,66,.3,0,Row 226 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
667,2008-09-28 00:00:00,2008-09-28 12:15:00,2008-09-28 10:57:00,271,MCHC005,"Hama Hama, Hood canal",47.54319,-123.03878,15,11.5,11.4,31,2.743,21.8,,,332,129,,,Row 227 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
669,2008-09-28 00:00:00,2008-09-28 10:10:00,2008-09-28 10:57:00,271,MCHC007,"Potlatch, Hood canal",47.36011,-123.15604,10.7,12.7,13.6,6,.547,15.8,,,206,51.2,,,Row 228 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
671,2008-09-28 00:00:00,2008-09-28 10:50:00,2008-09-28 10:57:00,271,MCHC056,Hoodsport,47.39555,-123.1438,10.8,13.2,13.3,10,1.251,21.6,,,16.3,8.65,,,Row 229 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
672,2008-09-29 00:00:00,2008-09-29 12:40:00,2008-09-29 12:28:00,272,TCSS0E0,Eld Inlet,47.11399,-122.94886,18.3,14.1,14.4,26,18.229,31.1,29000,0,3.16,1.9,93,0,Row 230 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
673,2008-09-29 00:00:00,2008-09-29 12:00:00,2008-09-29 12:30:00,272,TCSS0T2,South Totten Inlet,47.11496,-123.02234,18.3,15.6,15.3,27,1.403,25.5,20700,0,4.26,1.95,,,Row 231 of 702,Accessed on 2022-02-15 20:47:36,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008,"Paranjpye, Rohinee; 02/23/2017. NOAA Fisheries Northwest Fisheries Science Center. Vibrio ecology in PNW: Vibrio Parahaemolyticus Survey Washington 2007-2008 (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/vibrio_parahaemolyticus_survey_washington_20072008)"
